date,event_summary,location,protest_type,participants,escalation,sentiment,source
2026-06-06,"On 6 June 2026, the Cockroach Janta Party (CJP), founded by digital strategist Abhijeet Dipke, launched physical demonstrations at Jantar Mantar, New Delhi. The youth-led movement demanded the immedia",Delhi,None,0,2,Highly Negative,Wikipedia
2026-06-28,"On 28 June 2026, environmentalist and education reformer Sonam Wangchuk joined the CJP-led agitation at Jantar Mantar and began an indefinite hunger strike alongside student activists from the All Ind",Pan-India,Hunger Strike,0,3,Negative,Wikipedia
2026-07-18,"As the hunger strike reached its 21st day on 18 July 2026, Delhi Police forcibly removed a severely weakened Wangchuk from the protest stage and admitted him to VMMC & Safdarjung Hospital under direct",Delhi,Hunger Strike,0,4,Highly Negative,Wikipedia
2026-07-20,"On 20 July 2026, coinciding with the commencement of Parliament's Monsoon Session, CJP organised a ""Sansad Chalo"" (March to Parliament) rally. An estimated crowd of over 10,000 students and activists",Pan-India,Street Protest,0,3,Highly Negative,Wikipedia
2026-01-01,"Later that day, a delegation of CJP spokespersons, including Saurav Das and Ashutosh Ranka, met with Union Minister JP Nadda at his residence to formally submit a five-point petition. Their demands in",Pan-India,Street Protest,0,4,Highly Negative,Wikipedia
2026-07-25,"On 25 July 2026, due to mounting pressure and demands from the protestors, Pradhan resigned as Education Minister and was replaced with BJP MP and Union Minister Prahlad Joshi.",Pan-India,Street Protest,0,2,Negative,Wikipedia
2026-06-21,"The paper setters, translators, moderators and other team members linked to the retest scheduled on 21 June 2026 were secured at an undisclosed location. Usage of digital devices was restricted, and o",Pan-India,None,0,1,Neutral,Wikipedia
2026-01-01,"While downloading the admit cards for the retest, several candidates reported technical glitches in the official portal and also sought clarification regarding the fee refund procedure. The flagged is",Pan-India,None,0,1,Negative,Wikipedia
2026-06-16,"The NTA worked with relevant authorities to monitor social media and messaging platforms for suspicious activity and flag fake information related to the re-examination. As part of this undertaking, t",Delhi,None,0,4,Highly Negative,Wikipedia
2026-07-16,"The results of the retest were declared on 16 July 2026. 110,000 candidates qualified in the examination with women accounting for more than 58% of the total number of qualified candidates. Over 2",Pan-India,None,0,0,Neutral,Wikipedia
2026-01-01,"The government plans to amend the Public Examinations (Prevention of Unfair Means) Act, 2024 to introduce fast track courts for paper leak cases and increase the maximum jail term beyond the current 1",Pan-India,None,0,4,Highly Negative,Wikipedia
2026-05-03,NEET-UG 2026 conducted for ~22 lakh candidates; paper leak allegations surface,Pan-India,None,2200000,1,Negative,Brut Media
2026-05-12,NTA cancels NEET-UG 2026; CBI handed investigation; re-exam announced,Pan-India,PIL Filed,0,4,Highly Negative,Brut Media
2026-05-13,Student protests begin in Delhi and other cities demanding transparency,Delhi,Street Protest,5000,2,Negative,Brut Media
2026-06-06,CJP begins protest at Jantar Mantar demanding Education Minister's resignation,Delhi,Street Protest,500,3,Negative,Brut Media
2026-06-21,NEET re-exam conducted with IAF aircraft transporting papers; tight security,Pan-India,None,0,1,Neutral,Brut Media
2026-06-28,Sonam Wangchuk begins indefinite hunger strike at Jantar Mantar,Delhi,Hunger Strike,1000,3,Negative,Brut Media
2026-07-16,Delhi High Court intervenes; orders medical care for Wangchuk,Delhi,PIL Filed,0,3,Negative,Brut Media
2026-07-16,NEET re-exam results declared; fresh protests over score discrepancies,Pan-India,Street Protest,2000,2,Negative,Brut Media
2026-07-18,Delhi Police forcibly removes Wangchuk to Medanta Hospital after health deteriorates,Delhi,Hunger Strike,300,4,Highly Negative,Brut Media
2026-07-20,Sansad Chalo march; thousands detained; clashes at barricades,Delhi,Street Protest,10000,5,Highly Negative,Brut Media
2026-07-23,"PM Modi announces fast-track courts, anti-paper-leak legislation",Pan-India,None,0,2,Neutral,Brut Media
2026-07-24,Wangchuk ends 26-day hunger strike after talks with JP Nadda and Jitendra Singh,Delhi,Hunger Strike,0,2,Positive,Brut Media
2026-07-25,Education Minister Dharmendra Pradhan resigns under mounting pressure,Delhi,None,0,5,Highly Negative,Brut Media
